trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.580000000000009}",25,0,-29.069236064536796,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.577500000000009}",25,0,-31.659066479324665,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.5750000000000091}",20,10,-5.075026220498372,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.5725000000000091}",20,9,-15.72604011609205,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.5700000000000092}",30,15,-32.232320865223265,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.5675000000000092}",20,10,-69.91195481193068,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
175,False,"{'a': 0.5, 'e': 0.5650000000000093}",30,4,-64.47492759321746,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.5625000000000093}",20,6,-33.768289850798425,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.5600000000000094}",30,15,-4.411120221112535,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.5575000000000094}",25,1,18.812579943679665,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.5550000000000095}",25,11,19.455699077287317,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.5525000000000095}",20,0,-60.89896911465217,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.5500000000000096}",25,0,-154.36302484989886,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
182,False,"{'a': 0.5, 'e': 0.5475000000000096}",20,3,-46.9309320158225,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
